"matrix","time","row","col","value","sd","conf.low","conf.high","dates","report_prob_new"
"beta",1970-01-30,0,0,0.868293027117389,0.0185448913275728,0.831945708018137,0.904640346216641,2022-01-12,0.6656
"report_prob",1970-01-30,0,0,0.6656,0,0.5,0.5,2022-01-12,0.6656
"inc",1970-01-30,0,0,0.0960649186650866,0.00243312892099203,0.0912960736101994,0.100833763719974,2022-01-12,0.6656
"serop",1970-01-30,0,0,0.0305774401977409,0.00084922217869696,0.0289129953126222,0.0322418850828596,2022-01-12,0.6656
"beta",1970-01-31,0,0,0.844384682178622,0.0178349444586882,0.809428833373321,0.879340530983923,2022-01-13,0.6656
"report_prob",1970-01-31,0,0,0.6656,0,0.5,0.5,2022-01-13,0.6656
"inc",1970-01-31,0,0,0.0993960909834105,0.00234945646292736,0.094791240932828,0.104000941033993,2022-01-13,0.6656
"serop",1970-01-31,0,0,0.0324979039225094,0.00086705639870342,0.0307985046084857,0.0341973032365331,2022-01-13,0.6656
"beta",1970-02-01,0,0,0.81670261290682,0.0174501160203424,0.782501013980904,0.850904211832737,2022-01-14,0.6656
"report_prob",1970-02-01,0,0,0.6656,0,0.5,0.5,2022-01-14,0.6656
"inc",1970-02-01,0,0,0.102130934899333,0.00225507984718794,0.0977110596165821,0.106550810182083,2022-01-14,0.6656
"serop",1970-02-01,0,0,0.0343802710823597,0.0008764453521232,0.0326624697577807,0.0360980724069387,2022-01-14,0.6656
"beta",1970-02-02,0,0,0.786696216302915,0.017318415479175,0.752752745694431,0.820639686911399,2022-01-15,0.6656
"report_prob",1970-02-02,0,0,0.6656,0,0.5,0.5,2022-01-15,0.6656
"inc",1970-02-02,0,0,0.104268776806491,0.00216882661677988,0.100017954748891,0.108519598864092,2022-01-15,0.6656
"serop",1970-02-02,0,0,0.0361990684666026,0.00087717965743669,0.0344798279300555,0.0379183090031497,2022-01-15,0.6656
"beta",1970-02-03,0,0,0.755695932412078,0.0173290275462003,0.721731662534423,0.789660202289733,2022-01-16,0.6656
"report_prob",1970-02-03,0,0,0.6656,0,0.5,0.5,2022-01-16,0.6656
"inc",1970-02-03,0,0,0.105842376467579,0.00210926443262549,0.101708294145762,0.109976458789396,2022-01-16,0.6656
"serop",1970-02-03,0,0,0.0379325987655037,0.00086987966334458,0.0362276659544645,0.0396375315765429,2022-01-16,0.6656
"beta",1970-02-04,0,0,0.724862073389388,0.0173707652667264,0.690815999082705,0.758908147696071,2022-01-17,0.6656
"report_prob",1970-02-04,0,0,0.6656,0,0.5,0.5,2022-01-17,0.6656
"inc",1970-02-04,0,0,0.106913907619831,0.00208960399243066,0.102818359052716,0.111009456186946,2022-01-17,0.6656
"serop",1970-02-04,0,0,0.0395615384227892,0.00085593352564068,0.0378839395393731,0.0412391373062054,2022-01-17,0.6656
"beta",1970-02-05,0,0,0.695159019766384,0.0173559325309156,0.661142017087682,0.729176022445086,2022-01-18,0.6656
"report_prob",1970-02-05,0,0,0.6656,0,0.5,0.5,2022-01-18,0.6656
"inc",1970-02-05,0,0,0.107568751794731,0.00211341928634815,0.103426526109257,0.111710977480206,2022-01-18,0.6656
"serop",1970-02-05,0,0,0.0410746377228682,0.0008374876640014,0.0394331920639289,0.0427160833818075,2022-01-18,0.6656
"beta",1970-02-06,0,0,0.667350639546172,0.017227651090846,0.633585063869892,0.701116215222452,2022-01-19,0.6656
"report_prob",1970-02-06,0,0,0.6656,0,0.5,0.5,2022-01-19,0.6656
"inc",1970-02-06,0,0,0.107908157963653,0.00217402107565944,0.10364715495373,0.112169160973577,2022-01-19,0.6656
"serop",1970-02-06,0,0,0.0424664410023664,0.00081717580996465,0.0408648058457984,0.0440680761589345,2022-01-19,0.6656
"beta",1970-02-07,0,0,0.642011358492309,0.0169569491918259,0.608776348788654,0.675246368195963,2022-01-20,0.6656
"report_prob",1970-02-07,0,0,0.6656,0,0.5,0.5,2022-01-20,0.6656
"inc",1970-02-07,0,0,0.108041806313954,0.00225792173541038,0.10361636103264,0.112467251595269,2022-01-20,0.6656
