"dates","serop","beta","conf.low","conf.high","inc","serop_diff","true_inf"
2022-04-07,0.191291164289407,0.553664994359621,0.549717086737106,0.557612901982136,578,0.00275954349359886,1408
2022-04-08,0.194078918493364,0.554225424534998,0.550220813472846,0.558230035597151,585,0.00278775420395685,1423
2022-04-09,0.196894348514533,0.554735796117084,0.550696271353477,0.55877532088069,592,0.00281543002116905,1437
2022-04-10,0.199736852909883,0.55520881312729,0.551156821993159,0.559260804261421,598,0.0028425043953495,1451
2022-04-11,0.202605768427784,0.55565691941177,0.551615250988344,0.559698587835196,605,0.00286891551790139,1464
2022-04-12,0.205500375280576,0.556092245532295,0.552083680580082,0.560100810484508,612,0.00289460685279219,1477
2022-04-13,0.208419902794975,0.556526562137409,0.55257347247604,0.560479651798779,619,0.00291952751439853,1490
2022-04-14,0.211363535331959,0.556971239659063,0.553095114765249,0.560847364552878,625,0.00294363253698376,1502
2022-04-15,0.214330418391794,0.557437214109955,0.553658084295454,0.561216343924455,632,0.00296688305983558,1514
2022-04-16,0.217319666221027,0.557934958699072,0.55427067281677,0.561599244581374,638,0.00298924782923302,1526
2022-04-17,0.220330367448239,0.558474460937034,0.554939762227938,0.562009159646131,645,0.00301070122721203,1537
2022-04-18,0.223361590998255,0.559065204868098,0.555670533450471,0.562459876285725,651,0.00303122355001531,1547
2022-04-19,0.226412392099024,0.559716158041395,0.556466100249927,0.562966215832864,658,0.00305080110076975,1557
2022-04-20,0.229481818259434,0.560435762819082,0.557327085859357,0.563544439778807,664,0.00306942616040939,1567
2022-04-21,0.232568915132711,0.561231931612664,0.558251228133691,0.564212635091637,671,0.00308709687327693,1576
2022-04-22,0.23567273220183,0.562112045639688,0.55923323093505,0.564990860344326,677,0.00310381706911964,1584
2022-04-23,0.238792328237202,0.563082956800248,0.560265252617259,0.565900660983237,683,0.00311959603537207,1592
2022-04-24,0.241926776486679,0.564150992285212,0.561338466339815,0.56696351823061,689,0.00313444824947659,1600
2022-04-25,0.245075169565464,0.565321961544846,0.562445706174099,0.568198216915592,696,0.00314839307878492,1607
2022-04-26,0.248236624019851,0.566601165266505,0.563584263048405,0.569618067484606,702,0.00316145445438692,1614
2022-04-27,0.251410284544364,0.56799340603258,0.56475727889995,0.571229533165209,708,0.00317366052451332,1620
2022-04-28,0.254595327837062,0.569503000353955,0.56597296839172,0.573033032316189,714,0.00318504329269803,1626
2022-04-29,0.257790966082585,0.571133791799416,0.567242441742413,0.575025141856418,720,0.0031956382455231,1631
2022-04-30,0.260996517123669,0.572889164966852,0.568577508064766,0.577200821868937,726,0.00320555104108328,1636
2022-05-01,0.264211376700849,0.574772060067515,0.569989247136313,0.579554872998718,732,0.00321485957717993,1641
2022-05-02,0.267435004051564,0.576784987919392,0.571487380122738,0.582082595716046,739,0.00322362735071513,1645
2022-05-03,0.270666914657466,0.578930045169707,0.573080150992904,0.584779939346511,745,0.00323191060590233,1650
2022-05-04,0.273906676750737,0.588147112856633,0.58154704740679,0.594747178306476,752,0.00323976209327148,1654
2022-05-05,0.277153909732514,0.589960911497221,0.582750525807917,0.597171297186525,758,0.00324723298177693,1657
2022-05-06,0.28040978880005,0.591958773087359,0.584115590838349,0.599801955336369,764,0.00325587906753516,1662
2022-05-07,0.283674717549869,0.594137803641181,0.585642261694286,0.602633345588075,770,0.00326492874981926,1666
2022-05-08,0.286948710383022,0.596494991860153,0.58733021514902,0.605659768571285,776,0.00327399283315299,1671
2022-05-09,0.290231600855483,0.599027212096622,0.589178849773693,0.60887557441955,782,0.00328289047246166,1676
2022-05-10,0.293523154778065,0.601731227014102,0.591187334134316,0.612275119893887,788,0.00329155392258107,1680
2022-05-11,0.296823131134792,0.604603689965706,0.593354642546211,0.6158527373852,794,0.00329997635672735,1684
2022-05-12,0.30013131437625,0.607641147112579,0.595679581292603,0.619602712932555,801,0.00330818324145782,1688
2022-05-13,0.303447530982459,0.610840039304652,0.598160807553769,0.623519271055536,807,0.0033162166062089,1693
2022-05-14,0.306771658873974,0.6141967037465,0.600796842743976,0.627596564749024,813,0.00332412789151521,1697
2022-05-15,0.310103629816778,0.617707375471678,0.603586081527894,0.631828669415462,819,0.00333197094280424,1701
2022-05-16,0.313443429482608,0.621368188649539,0.606526797469965,0.636209579829114,825,0.00333979966582942,1705
2022-05-17,0.316791096193545,0.625175177749343,0.609617146036842,0.640733209461843,831,0.00334766671093795,1709
2022-05-18,0.320146718919555,0.629124278587366,0.61285516550357,0.645393391671161,837,0.00335562272600959,1713
2022-05-19,0.3235104348448,0.633211329283806,0.61623877619185,0.650183882375763,843,0.00336371592524476,1717
2022-05-20,0.326882426679379,0.637432071157438,0.619765778380776,0.655098363934101,849,0.00337199183457909,1721
2022-05-21,0.33026291981615,0.641782149587301,0.62343384916721,0.660130450007393,856,0.00338049313677152,1725
2022-05-22,0.333652179389534,0.646257114872095,0.627240538507629,0.66527369123656,862,0.00338925957338387,1730
2022-05-23,0.337050507269177,0.65085242311941,0.631183264640835,0.670521581597985,868,0.00339832787964306,1735
2022-05-24,0.340458239007695,0.655563437198402,0.635259309067602,0.675867565329201,874,0.00340773173851727,1739
2022-05-25,0.343875740753756,0.660385427790933,0.639465811246639,0.681305044335228,881,0.00341750174606181,1744
2022-05-26,0.347303406137038,0.665313574577607,0.643799763154089,0.686827386001125,887,0.00342766538328121,1749
